Season,Day_of_the_week,DHI,DNI,GHI,Wind_speed,Humidity,Temperature,PV_production,Wind_production
1,6,0.0,0.0,0.0,1.52,78.482,6.94,0,2298
1,4,0.0,0.0,0.0,1.56,79.73,7.5,0,2254
2,1,190.2,587.6,630.2,2.62,50.976,21.24,9332,1861
2,0,209.4,163.8,305.6,3.14,46.608,23.98,10105,3389
1,5,102.2,514.8,341.6,3.72,61.338,8.98,8198,2487
2,6,0.0,0.0,0.0,2.48,69.23,15.04,11,2329
1,0,37.8,320.4,79.8,0.96,61.676,17.1,6195,198
1,3,96.8,534.4,325.0,3.78,67.342,12.8,3618,1618
1,1,0.0,0.0,0.0,0.86,60.972,11.82,0,39
1,6,0.0,0.0,0.0,3.02,78.11,3.0,0,2526
1,2,0.0,0.0,0.0,2.46,76.058,11.46,1,2695
1,3,0.0,0.0,0.0,2.32,82.402,8.24,0,2172
1,3,222.6,340.0,444.4,3.7,59.402,14.7,7632,2189
1,6,0.0,0.0,0.0,2.46,70.074,10.78,0,406
1,0,122.0,264.8,257.6,5.76,64.834,10.1,5798,2519
1,1,0.0,0.0,0.0,2.12,75.776,11.36,0,1339
1,1,50.6,772.6,256.0,3.22,33.612,9.76,6410,811
2,6,0.0,0.0,0.0,2.74,69.218,14.68,6,3219
1,0,73.6,618.2,260.8,1.06,56.132,18.64,8670,133
2,5,0.0,0.0,0.0,2.52,73.602,13.76,2,3611
1,2,0.0,0.0,0.0,3.12,81.47,10.44,8,2207
2,3,0.0,0.0,0.0,1.7,68.658,15.18,0,3168
1,0,0.0,0.0,0.0,2.68,71.972,8.48,21,2053
1,5,0.0,0.0,0.0,3.86,75.534,8.4,4,1321
1,0,29.4,161.0,47.6,2.5,65.3,10.46,0,120
1,6,118.4,372.8,313.2,3.84,62.902,7.26,6652,1679
1,2,0.0,0.0,0.0,1.6,52.402,3.62,0,244
2,4,0.0,0.0,0.0,1.2,69.02,14.66,19,3550
1,0,122.8,568.4,459.8,3.74,59.942,12.94,9298,1194
1,4,207.2,155.4,297.6,4.8,61.488,15.68,5855,309
1,6,0.0,0.0,0.0,1.56,72.304,6.88,0,303
1,1,75.4,270.4,142.8,4.22,68.098,6.66,5404,1863
2,2,0.0,0.0,0.0,3.82,70.124,15.78,36,2314
1,3,0.0,0.0,0.0,1.82,56.826,7.86,153,357
1,0,0.0,0.0,0.0,4.2,82.542,7.44,0,1914
2,3,0.0,0.0,0.0,1.56,65.846,14.46,17,3204
1,0,76.8,267.6,137.2,3.72,62.112,9.06,1319,1665
2,5,0.0,0.0,0.0,1.18,70.39,13.72,0,3972
1,0,0.0,0.0,0.0,2.28,80.704,8.52,1,611
2,5,38.8,217.0,63.0,2.32,66.454,15.94,5943,3121
1,5,0.0,0.0,0.0,3.5,75.292,5.46,0,1826
1,6,101.4,966.4,859.6,1.56,37.88,20.58,10369,484
1,4,0.0,0.0,0.0,2.82,80.176,6.62,0,2591
2,3,0.0,0.0,0.0,2.28,70.134,16.44,9,3177
2,2,265.6,475.2,669.2,2.1,53.862,18.5,8423,1195
1,5,0.0,0.0,0.0,3.12,71.616,5.58,6,3016
1,5,0.0,0.0,0.0,2.46,70.596,10.56,0,584
1,5,0.0,0.0,0.0,1.5,69.352,9.08,0,2489
2,5,92.0,457.8,289.0,3.1,56.69,18.18,8134,2645
2,4,147.2,533.4,492.8,3.66,45.472,23.36,9188,322
1,6,0.0,0.0,0.0,2.44,70.224,10.74,0,394
1,3,0.0,0.0,0.0,0.88,72.418,10.96,0,247
